squirrel_id,latitude,longitude
9I-PM-1010-02,40.7712025611298,-73.9689703880705
3E-AM-1006-06,40.7676793289765,-73.9758375334287
3F-AM-1006-10,40.7674812627373,-73.974382557804
39E-PM-1013-02,40.7958617258176,-73.9550131837533
7G-AM-1010-05,40.7703533492482,-73.9719038949487
22F-PM-1014-01,40.7821064183815,-73.964868521585
4A-PM-1007-01,40.7709033697887,-73.979381450452
10C-AM-1018-02,40.7742591029151,-73.9748635473782
33F-PM-1012-02,40.7911211164754,-73.9584561537421
6B-PM-1017-07,40.7717561807266,-73.9767590273554
38D-AM-1017-04,40.7961046528557,-73.95744422055
13F-PM-1008-05,40.7757055884538,-73.9693338657183
16I-AM-1008-02,40.7763395359636,-73.9649823687651
10F-PM-1019-01,40.7724939691584,-73.9710221361528
20F-PM-1007-03,40.7812084402932,-73.9647219419257
35D-PM-1013-06,40.7934846881536,-73.9589475065438
38F-PM-1013-04,40.7946991812402,-73.9548207106339
5C-AM-1006-04,40.7706982454723,-73.976869549792
14I-PM-1018-01,40.7754033737532,-73.9658747245917
33B-PM-1010-06,40.7925160126921,-73.9619016393127
35B-AM-1010-02,40.7944813634744,-73.9612352611518
19H-PM-1008-01,40.7791203699027,-73.9646495450499
15G-PM-1019-06,40.7766797414463,-73.9675697600155
21D-PM-1008-03,40.7823206990549,-73.9676529780724
4A-PM-1007-06,40.7702554167042,-73.9800271487863
40D-AM-1013-01,40.7981145780509,-73.9561076824455
37B-AM-1018-05,40.7957472585327,-73.9599424115626
20B-PM-1013-04,40.782613519363,-73.9695150319891
16E-AM-1014-01,40.7779068128051,-73.9685087288072
5F-PM-1007-05,40.7690605609001,-73.9735533713513
1D-AM-1006-03,40.7666724066213,-73.9781033448468
33E-AM-1014-13,40.7921197130403,-73.959127912788
39C-AM-1017-03,40.7972273394716,-73.9579097104326
9C-PM-1006-03,40.773300804412,-73.9754802138871
18C-AM-1018-02,40.780542852496,-73.9691424997919
14D-PM-1019-03,40.7771661508364,-73.9713680837672
35A-AM-1014-01,40.7946803725236,-73.9617594316752
3F-AM-1006-12,40.7676346798325,-73.9743393747021
12F-AM-1020-01,40.7743556902843,-73.9694805745522
8H-PM-1014-02,40.770579297644,-73.970138810251
10E-AM-1010-01,40.7736266158925,-73.9714744574918
30B-PM-1019-09,40.7910151996207,-73.9639828431368
2F-PM-1014-10,40.7667805367199,-73.9749469566854
30H-PM-1006-01,40.7876857380722,-73.9572383478774
4E-AM-1020-04,40.7680866624003,-73.9755459090534
35B-PM-1013-06,40.7944678447843,-73.9615643742864
9G-PM-1007-02,40.7715540712285,-73.970996228532
2D-PM-1012-01,40.7675313108314,-73.9779039082557
37F-AM-1010-01,40.7945828261377,-73.9559663734409
20B-PM-1013-03,40.7821142051746,-73.9695468150218
2A-AM-1010-03,40.7683925377714,-73.9810149147578
4C-PM-1010-17,40.7695660563362,-73.978199543688
5G-PM-1010-04,40.7687061447032,-73.9735753352129
3F-AM-1006-02,40.7671023412885,-73.9751625910271
12F-PM-1007-15,40.7745000645436,-73.9698130452581
8H-PM-1014-01,40.7704727212299,-73.970795746101
19E-PM-1018-05,40.7805656411756,-73.9665004148497
3D-AM-1006-01,40.7684390015166,-73.9769693140651
8A-AM-1013-01,40.7732320781799,-73.9771726831497
10B-AM-1006-03,40.7752538575789,-73.9752965316933
5A-PM-1010-04,40.7707024146365,-73.9789971286844
8I-PM-1013-03,40.7697788641081,-73.9694166642262
6A-PM-1012-06,40.7716114164002,-73.9786351029146
7C-PM-1020-03,40.7715946097064,-73.9758128509653
32A-PM-1013-02,40.7923714941429,-73.9638812060405
8I-PM-1013-08,40.7700678919108,-73.9692676659807
14B-AM-1007-01,40.7778238570396,-73.9729786570879
14D-PM-1019-14,40.7771060594808,-73.97063044051
23A-AM-1018-03,40.785308737683,-73.9689893412693
34I-AM-1012-01,40.7912866208106,-73.9544553697736
7C-PM-1020-01,40.7717766893833,-73.9754822938869
32D-PM-1006-05,40.7914179994956,-73.9605163698302
4G-AM-1006-01,40.7677630862626,-73.9736896363006
19H-AM-1010-04,40.7795591281979,-73.9642988690682
38I-AM-1019-02,40.7934034811368,-73.9522677657659
31F-AM-1013-01,40.7893787188526,-73.9596865318094
7H-PM-1006-01,40.7696367609606,-73.9713379914423
21G-AM-1014-04,40.7808289765857,-73.96393252683
5G-PM-1010-02,40.7686218881386,-73.9734605176646
36F-PM-1012-06,40.7936908887644,-73.9564228238736
38C-PM-1014-04,40.7961254697958,-73.95795157569
5C-PM-1010-03,40.7708863131336,-73.9771800098131
11G-PM-1013-02,40.7730671417653,-73.9697159562944
31E-PM-1006-07,40.7898646293603,-73.9604482901468
8D-PM-1007-02,40.7726424441344,-73.9737329655838
7C-AM-1012-01,40.7717715634438,-73.9766348078633
3D-PM-1010-13,40.7685720141731,-73.9770439076963
9I-PM-1010-03,40.7710230515054,-73.9690080105286
42H-PM-1014-02,40.797579073666,-73.950827557335
4C-PM-1010-09,40.7694681558386,-73.9776151109912
5C-AM-1006-06,40.7706121151491,-73.9763836740342
7I-PM-1013-01,40.7692014637698,-73.9700264128414
15F-AM-1007-06,40.7767001471729,-73.968891673893
39F-AM-1014-02,40.7953550639701,-73.9543832609857
6D-PM-1020-06,40.770291361572,-73.9751454725998
14E-PM-1017-02,40.7768710160557,-73.9693719015914
4C-PM-1010-13,40.7697096533728,-73.9775445441194
39B-PM-1014-05,40.7977320341094,-73.9584967368893
8A-AM-1013-05,40.7731716665766,-73.9772239251936
38F-AM-1018-01,40.7949716693686,-73.954499539822
13E-AM-1017-07,40.7762933936464,-73.9706428641753
35I-PM-1006-01,40.7919360198175,-73.9538251716292
