squirrel_id,approaches,indifferent,runs_from,watching
2B-PM-1013-01,False,False,False,False
40B-AM-1019-03,True,False,False,True
3E-PM-1008-07,False,True,False,True
14F-AM-1007-05,False,True,False,True
6I-PM-1013-06,False,False,False,False
8B-PM-1012-02,False,False,True,True
3A-PM-1017-06,False,False,True,True
36I-AM-1017-02,False,True,False,True
5E-AM-1008-06,True,False,False,True
5F-PM-1007-03,False,True,False,False
16E-PM-1018-06,False,True,False,True
13F-AM-1007-02,False,True,False,True
20B-PM-1013-10,False,True,False,False
3A-PM-1017-05,False,False,False,True
33C-PM-1007-03,False,True,False,True
38G-PM-1020-09,False,True,False,True
16G-PM-1017-01,False,True,False,True
35A-AM-1014-03,False,True,False,True
28C-PM-1006-01,False,False,True,False
22A-AM-1008-05,False,False,True,True
40B-PM-1014-06,False,True,False,True
19C-PM-1018-01,False,True,False,True
15G-PM-1019-05,False,False,False,True
42E-PM-1012-06,False,False,True,True
5A-AM-1006-05,False,False,True,True
41D-AM-1014-01,False,True,False,False
21G-PM-1007-01,False,True,False,True
22F-AM-1007-01,False,True,False,True
38F-PM-1013-05,False,False,False,False
41B-PM-1014-01,False,False,True,False
5C-AM-1006-05,False,True,False,True
31A-PM-1017-04,False,False,False,True
42G-AM-1018-03,False,False,True,False
37E-PM-1006-03,False,False,True,True
5C-PM-1010-13,False,False,False,True
15I-AM-1008-01,False,True,False,True
19B-PM-1018-01,False,False,False,False
13D-PM-1018-10,False,True,False,True
36I-PM-1007-10,False,True,False,False
41B-AM-1010-06,False,False,False,True
40D-PM-1013-01,False,False,False,True
38B-PM-1018-02,False,False,False,False
13D-AM-1014-08,False,False,True,True
16G-AM-1010-03,False,False,True,False
40A-AM-1010-03,False,True,True,True
10B-PM-1014-05,False,False,False,True
2F-AM-1006-05,False,False,False,True
20B-AM-1007-01,False,True,False,False
26A-PM-1006-06,False,False,False,True
11G-PM-1013-01,False,False,True,True
36I-PM-1007-13,True,False,False,True
7A-AM-1006-01,False,False,False,True
3D-PM-1010-03,False,False,False,True
35D-PM-1013-09,False,True,False,True
18G-PM-1013-01,False,False,True,False
6F-PM-1008-01,False,False,False,True
9F-AM-1013-04,False,False,False,True
38E-AM-1010-09,False,True,False,True
39G-AM-1018-01,False,False,False,False
32G-PM-1013-03,False,True,False,True
4D-PM-1008-11,False,False,True,False
6H-AM-1008-01,False,False,False,True
15D-PM-1017-01,False,True,False,True
16E-AM-1014-03,True,False,False,True
39H-PM-1013-02,False,True,False,True
31A-AM-1010-04,False,False,False,True
9F-PM-1014-02,False,True,False,True
2F-AM-1006-01,False,True,False,True
20F-PM-1007-01,False,True,False,True
35E-PM-1006-01,True,False,False,True
9G-AM-1007-04,False,True,False,False
